   ,Account       ,Card ,Transaction Date ,Value Date ,Description                                                  ,Debit  ,Credit  ,Amount  ,Balance  ,Reference No     ,Category
0  ,1234567890123 ,     ,2020-10-22       ,2020-10-22 ,TO: QUEENIE GAY-Car Payment Number 40                        ,500.0  ,        ,-500.0  ,17344.52 ,2002F11202961518 ,Auto:Loan
1  ,1234567890123 ,     ,2020-10-22       ,2020-10-22 ,FROM:  MISCHA G  FUBLER-Monthly Contribution                 ,       ,6859.83 ,6859.83 ,17844.52 ,2002F11202961498 ,Salary:Net
2  ,1234567890123 ,7184 ,2020-10-22       ,2020-10-22 ,SIG POS TRANS 7184 LINDO'S MARKET LIMITED DEVONSHIRE BM      ,337.27 ,        ,-337.27 ,10984.69 ,200POSS202966656 ,Food:Groceries
3  ,1234567890123 ,3593 ,2020-10-21       ,2020-10-21 ,SIG POS TRANS 3593 PORTOFINO RESTAURANT HAMILTON BM          ,80.0   ,        ,-80.0   ,11321.96 ,200POSS20295A1F2 ,Food:Dining
4  ,1234567890123 ,7184 ,2020-10-21       ,2020-10-21 ,SIG POS TRANS 7184 SARGASSO SEA LTD. 000-000-0000 BM         ,44.17  ,        ,-44.17  ,11401.96 ,200POSS20295A0GH ,Food:Dining
5  ,1234567890123 ,3593 ,2020-10-20       ,2020-10-20 ,SIG POS TRANS 3593 DEVIL'S ISLE PEMBROKE BM                  ,45.61  ,        ,-45.61  ,11446.13 ,200POSS20294B1SN ,Food:Dining
6  ,1234567890123 ,3593 ,2020-10-20       ,2020-10-20 ,SIG POS TRANS 3593 PEOPLE'S PHARMACY HAMILTON BM             ,64.45  ,        ,-64.45  ,11491.74 ,200POSS20294B1SM ,Medical:Prescriptions
7  ,1234567890123 ,3593 ,2020-10-20       ,2020-10-20 ,SIG POS TRANS 3593 THE HAMILTON PASTRY SH SANDYS BM          ,40.83  ,        ,-40.83  ,11556.19 ,200POSS20294B1SL ,Food:Coffee
8  ,1234567890123 ,7184 ,2020-10-20       ,2020-10-20 ,SIG POS TRANS 7184 PEOPLE'S PHARMACY HAMILTON BM             ,56.75  ,        ,-56.75  ,11597.02 ,200POSS20294A2N5 ,Medical:Prescriptions
9  ,1234567890123 ,3593 ,2020-10-19       ,2020-10-19 ,SIG POS TRANS 3593 WARWICK GAS STATION WARWICK BM            ,5.0    ,        ,-5.0    ,11653.77 ,200POSS20293A55Y ,Auto:Fuel
10 ,1234567890123 ,7184 ,2020-10-15       ,2020-10-15 ,SIG POS TRANS 7184 LINDO'S MARKET LIMITED DEVONSHIRE BM      ,242.91 ,        ,-242.91 ,11658.77 ,200POSS202892545 ,Food:Groceries
11 ,1234567890123 ,3593 ,2020-10-14       ,2020-10-14 ,SIG POS TRANS 3593 SARGASSO SEA LTD. 000-000-0000 BM         ,105.0  ,        ,-105.0  ,11901.68 ,200POSS202880066 ,Food:Dining
12 ,1234567890123 ,3593 ,2020-10-13       ,2020-10-13 ,SIG POS TRANS 3593 VILLAGE PANTRY PEMBROKE BM                ,115.2  ,        ,-115.2  ,12006.68 ,200POSS20287B2PJ ,Food:Dining
13 ,1234567890123 ,7184 ,2020-10-13       ,2020-10-13 ,FCPT 7184 TEACHERSPAYTEACHERS.CO 6465880910 US               ,0.53   ,        ,-0.53   ,12121.88 ,200POSS20287A7LL ,Tax
14 ,1234567890123 ,7184 ,2020-10-13       ,2020-10-13 ,SIG POS TRANS 7184 TEACHERSPAYTEACHERS.CO 6465880910 US      ,42.32  ,        ,-42.32  ,12122.41 ,200POSS20287A7LL ,Teaching
15 ,1234567890123 ,7184 ,2020-10-13       ,2020-10-13 ,SIG POS TRANS 7184 GORHAM'S LTD (DATACAP) PEMBROKE BM        ,83.14  ,        ,-83.14  ,12164.73 ,200POSS20287A7LK ,Household
16 ,1234567890123 ,7184 ,2020-10-13       ,2020-10-13 ,SIG POS TRANS 7184 THE HAMILTON PASTRY SH SANDYS BM          ,19.95  ,        ,-19.95  ,12247.87 ,200POSS20287A7LJ ,Food:Coffee
17 ,1234567890123 ,     ,2020-10-13       ,2020-10-13 ,DOM TFR FEE                                                  ,0.5    ,        ,-0.5    ,12267.82 ,2002PC1202862816 ,Banking:Fees
18 ,1234567890123 ,     ,2020-10-13       ,2020-10-13 ,DOM TFR DEBIT : HSBC BANK OF BERMUDA-ANYELA DE OUTERBRIDGE   ,300.0  ,        ,-300.0  ,12268.32 ,2002PC1202862816 ,Household:Cleaning
19 ,1234567890123 ,3593 ,2020-10-12       ,2020-10-12 ,SIG POS TRANS 3593 BURROWS LIGHTBOURN-DIS HAMILTON BM        ,59.98  ,        ,-59.98  ,12568.32 ,200POSS20286A1S2 ,Food:Alcohol
20 ,1234567890123 ,3593 ,2020-10-12       ,2020-10-12 ,SIG POS TRANS 3593 ONE COMMUNICATIONS 000-000-0000 BM        ,149.55 ,        ,-149.55 ,12628.3  ,200POSS20286A1S1 ,Utilities:Internet
21 ,1234567890123 ,3593 ,2020-10-12       ,2020-10-12 ,SIG POS TRANS 3593 ONE COMMUNICATIONS 000-000-0000 BM        ,95.0   ,        ,-95.0   ,12777.85 ,200POSS20286A1S0 ,Utilities:Internet:Mom
22 ,1234567890123 ,7184 ,2020-10-09       ,2020-10-09 ,SIG POS TRANS 7184 LINDO'S MARKET LIMITED DEVONSHIRE BM      ,282.59 ,        ,-282.59 ,12872.85 ,200POSS202831446 ,Food:Groceries
23 ,1234567890123 ,7184 ,2020-10-09       ,2020-10-09 ,SIG POS TRANS 7184 SARGASSO SEA LTD. 000-000-0000 BM         ,24.85  ,        ,-24.85  ,13155.44 ,200POSS202831445 ,Food:Dining
24 ,1234567890123 ,3593 ,2020-10-08       ,2020-10-08 ,SIG POS TRANS 3593 SARGASSO SEA LTD. 000-000-0000 BM         ,30.0   ,        ,-30.0   ,13180.29 ,200POSS202828425 ,Food:Dining
25 ,1234567890123 ,3593 ,2020-10-06       ,2020-10-06 ,FCPT 3593 DIGICEL DING*56776372 18763807626 IE               ,0.45   ,        ,-0.45   ,13210.29 ,200POSS20280B6FM ,Tax
26 ,1234567890123 ,3593 ,2020-10-06       ,2020-10-06 ,SIG POS TRANS 3593 DIGICEL DING*56776372 18763807626 IE      ,36.11  ,        ,-36.11  ,13210.74 ,200POSS20280B6FM ,Utilities:Mobile Phone
27 ,1234567890123 ,3593 ,2020-10-06       ,2020-10-06 ,SIG POS TRANS 3593 DEVIL'S ISLE PEMBROKE BM                  ,67.91  ,        ,-67.91  ,13246.85 ,200POSS20280B30W ,Food:Dining
28 ,1234567890123 ,3593 ,2020-10-06       ,2020-10-06 ,SIG POS TRANS 3593 PRICERITE 2 WARWICK BM                    ,159.4  ,        ,-159.4  ,13314.76 ,200POSS20280B2XF ,
29 ,1234567890123 ,3593 ,2020-10-06       ,2020-10-06 ,SIG POS TRANS 3593 PORTOFINO RESTAURANT HAMILTON BM          ,7.5    ,        ,-7.5    ,13474.16 ,200POSS20280B2XE ,Food:Dining
30 ,1234567890123 ,7184 ,2020-10-06       ,2020-10-06 ,SIG POS TRANS 7184 PORTOFINO RESTAURANT HAMILTON BM          ,65.85  ,        ,-65.85  ,13481.66 ,200POSS20280B0O2 ,Food:Dining
31 ,1234567890123 ,1164 ,2020-10-05       ,2020-10-05 ,ELECT PYMNT DUPREE G G EDI11640949                           ,       ,6372.13 ,6372.13 ,13547.51 ,200EDIC202792427 ,Salary:Net
32 ,1234567890123 ,3593 ,2020-10-05       ,2020-10-05 ,SIG POS TRANS 3593 JL SERVICE STATION HAMILTON PARI BM       ,10.0   ,        ,-10.0   ,7175.38  ,200POSS20279C3HB ,Auto:Fuel
33 ,1234567890123 ,7184 ,2020-10-05       ,2020-10-05 ,FCPT 7184 DIGICEL DING*56702826 18763807626 IE               ,0.58   ,        ,-0.58   ,7185.38  ,200POSS20279C2WW ,Tax
34 ,1234567890123 ,7184 ,2020-10-05       ,2020-10-05 ,SIG POS TRANS 7184 DIGICEL DING*56702826 18763807626 IE      ,46.44  ,        ,-46.44  ,7185.96  ,200POSS20279C2WW ,Utilities:Mobile Phone
35 ,1234567890123 ,7184 ,2020-10-05       ,2020-10-05 ,SIG POS TRANS 7184 BOUQUET GARNI FLATTS BM                   ,108.75 ,        ,-108.75 ,7232.4   ,200POSS20279B78K ,Food:Groceries
36 ,1234567890123 ,     ,2020-10-05       ,2020-10-05 ,TRANSFER FEE                                                 ,0.5    ,        ,-0.5    ,7341.15  ,2002F12202791656 ,Banking:Fees
37 ,1234567890123 ,     ,2020-10-05       ,2020-10-05 ,TO: Bermuda Engineering Company Limited-M Fubler Deposit     ,200.0  ,        ,-200.0  ,7341.65  ,2002F12202791656 ,Household:Solar Panels
38 ,1234567890123 ,     ,2020-10-05       ,2020-10-05 ,DOM TFR FEE                                                  ,0.5    ,        ,-0.5    ,7541.65  ,2002PC1202791150 ,Banking:Fees
39 ,1234567890123 ,     ,2020-10-05       ,2020-10-05 ,DOM TFR DEBIT : HSBC BANK OF BERMUDA-Piper Gardens           ,400.0  ,        ,-400.0  ,7542.15  ,2002PC1202791150 ,Maintenance Fee
40 ,1234567890123 ,     ,2020-10-05       ,2020-10-05 ,TO: QUEENIE GAY-Car Payment Number 39                        ,500.0  ,        ,-500.0  ,7942.15  ,2002F11202790114 ,Auto:Loan
41 ,1234567890123 ,     ,2020-10-05       ,2020-10-05 ,TRANSFER FEE                                                 ,0.5    ,        ,-0.5    ,8442.15  ,2002F12202790124 ,Banking:Fees
42 ,1234567890123 ,4321 ,2020-10-05       ,2020-10-05 ,TO: Sea Venture Overseas Shipping-Ref 432171  Invoice 157260 ,75.0   ,        ,-75.0   ,8442.65  ,2002F12202790124 ,Shopping:Shipping
43 ,1234567890123 ,7184 ,2020-10-05       ,2020-10-05 ,SIG POS TRANS 7184 BLUKIDS HAMILTON BM                       ,95.0   ,        ,-95.0   ,8517.65  ,200POSS202791378 ,
44 ,1234567890123 ,7184 ,2020-10-05       ,2020-10-05 ,SIG POS TRANS 7184 SIENA SOLUTIONS LIMITE HAMILTON BM        ,13.0   ,        ,-13.0   ,8612.65  ,200POSS202791377 ,
45 ,1234567890123 ,7184 ,2020-10-05       ,2020-10-05 ,SIG POS TRANS 7184 SPA OASIS PEMBROKE BM                     ,70.0   ,        ,-70.0   ,8625.65  ,200POSS202791376 ,
46 ,1234567890123 ,3593 ,2020-10-02       ,2020-10-02 ,SIG POS TRANS 3593 VILLAGE PANTRY PEMBROKE BM                ,110.09 ,        ,-110.09 ,8695.65  ,200POSS202767188 ,Food:Dining
