1234567890123,JANE GOT MONEY DOE,,,,,
Opening Balance,BMD 8805.74,,,,,
Closing Balance,BMD 17344.52,,,,,
Transaction Date,Value Date,Description,Debit,Credit,Balance,Reference No
22 Oct 2020,22 Oct 2020,"TO: QUEENIE GAY-Car Payment Number 40",500.00,,17344.52,2002F11202961518
22 Oct 2020,22 Oct 2020,"FROM:  MISCHA G  FUBLER-Monthly Contribution",,6859.83,17844.52,2002F11202961498
22 Oct 2020,22 Oct 2020,"SIG POS TRANS 7184 LINDO'S MARKET LIMITED DEVONSHIRE BM",337.27,,10984.69,200POSS202966656
21 Oct 2020,21 Oct 2020,"SIG POS TRANS 3593 PORTOFINO RESTAURANT HAMILTON BM",80.00,,11321.96,200POSS20295A1F2
21 Oct 2020,21 Oct 2020,"SIG POS TRANS 7184 SARGASSO SEA LTD. 000-000-0000 BM",44.17,,11401.96,200POSS20295A0GH
20 Oct 2020,20 Oct 2020,"SIG POS TRANS 3593 DEVIL'S ISLE PEMBROKE BM",45.61,,11446.13,200POSS20294B1SN
20 Oct 2020,20 Oct 2020,"SIG POS TRANS 3593 PEOPLE'S PHARMACY HAMILTON BM",64.45,,11491.74,200POSS20294B1SM
20 Oct 2020,20 Oct 2020,"SIG POS TRANS 3593 THE HAMILTON PASTRY SH SANDYS BM",40.83,,11556.19,200POSS20294B1SL
20 Oct 2020,20 Oct 2020,"SIG POS TRANS 7184 PEOPLE'S PHARMACY HAMILTON BM",56.75,,11597.02,200POSS20294A2N5
19 Oct 2020,19 Oct 2020,"SIG POS TRANS 3593 WARWICK GAS STATION WARWICK BM",5.00,,11653.77,200POSS20293A55Y
15 Oct 2020,15 Oct 2020,"SIG POS TRANS 7184 LINDO'S MARKET LIMITED DEVONSHIRE BM",242.91,,11658.77,200POSS202892545
14 Oct 2020,14 Oct 2020,"SIG POS TRANS 3593 SARGASSO SEA LTD. 000-000-0000 BM",105.00,,11901.68,200POSS202880066
